cutoff,horizon_days,n_days,mae,rmse,mape_pct,season,mae_rate
2024-04-30,30,30,68.52,75.6,15.24,all,0.0832
2024-04-30,60,60,56.96,65.06,11.39,all,0.0691
2024-04-30,90,90,60.79,69.68,10.71,all,0.0738
2024-06-29,30,30,49.44,58.04,7.03,all,0.06
2024-06-29,60,60,55.33,64.02,7.39,all,0.0672
2024-06-29,90,90,75.84,94.03,12.02,all,0.092
2024-08-28,30,30,124.85,153.76,23.44,all,0.1515
2024-08-28,60,60,140.14,160.04,31.78,all,0.1701
2024-08-28,90,90,126.35,145.27,35.08,all,0.1533
2024-10-27,30,30,65.5,79.85,28.56,all,0.0795
2024-10-27,60,60,46.23,61.06,21.77,all,0.0561
2024-10-27,90,90,59.18,85.66,26.9,all,0.0736
2024-12-26,30,30,84.86,120.18,39.52,all,0.108
2024-12-26,60,60,67.38,94.83,31.96,all,0.086
2024-12-26,90,90,63.2,86.43,32.26,all,0.0808
2025-02-24,30,30,72.33,79.99,43.12,all,0.0928
2025-02-24,60,60,65.2,73.62,32.96,all,0.0837
2025-02-24,90,90,61.07,71.89,26.85,all,0.0784
2025-04-25,30,30,51.08,68.96,13.81,all,0.0656
2025-04-25,60,60,64.35,83.62,13.94,all,0.0826
2025-04-25,90,90,50.84,71.01,10.71,all,0.0653
2025-06-24,30,30,28.56,32.85,5.14,all,0.0367
2025-06-24,60,60,33.04,40.16,5.18,all,0.0424
2025-06-24,90,90,41.44,53.92,6.12,all,0.0532
